"Kod";"Nazwa";"w wieku przedprodukcyjnym;ogółem;2010;[osoba]";"w wieku przedprodukcyjnym;ogółem;2011;[osoba]";"w wieku przedprodukcyjnym;ogółem;2012;[osoba]";"w wieku przedprodukcyjnym;ogółem;2013;[osoba]";"w wieku przedprodukcyjnym;ogółem;2014;[osoba]";"w wieku przedprodukcyjnym;ogółem;2015;[osoba]";"w wieku przedprodukcyjnym;ogółem;2016;[osoba]";"w wieku przedprodukcyjnym;ogółem;2017;[osoba]";"w wieku przedprodukcyjnym;ogółem;2018;[osoba]";"w wieku przedprodukcyjnym;ogółem;2019;[osoba]";"w wieku produkcyjnym;ogółem;2010;[osoba]";"w wieku produkcyjnym;ogółem;2011;[osoba]";"w wieku produkcyjnym;ogółem;2012;[osoba]";"w wieku produkcyjnym;ogółem;2013;[osoba]";"w wieku produkcyjnym;ogółem;2014;[osoba]";"w wieku produkcyjnym;ogółem;2015;[osoba]";"w wieku produkcyjnym;ogółem;2016;[osoba]";"w wieku produkcyjnym;ogółem;2017;[osoba]";"w wieku produkcyjnym;ogółem;2018;[osoba]";"w wieku produkcyjnym;ogółem;2019;[osoba]";"w wieku produkcyjnym mobilnym;ogółem;2010;[osoba]";"w wieku produkcyjnym mobilnym;ogółem;2011;[osoba]";"w wieku produkcyjnym mobilnym;ogółem;2012;[osoba]";"w wieku produkcyjnym mobilnym;ogółem;2013;[osoba]";"w wieku produkcyjnym mobilnym;ogółem;2014;[osoba]";"w wieku produkcyjnym mobilnym;ogółem;2015;[osoba]";"w wieku produkcyjnym mobilnym;ogółem;2016;[osoba]";"w wieku produkcyjnym mobilnym;ogółem;2017;[osoba]";"w wieku produkcyjnym mobilnym;ogółem;2018;[osoba]";"w wieku produkcyjnym mobilnym;ogółem;2019;[osoba]";"w wieku produkcyjnym niemobilnym;ogółem;2010;[osoba]";"w wieku produkcyjnym niemobilnym;ogółem;2011;[osoba]";"w wieku produkcyjnym niemobilnym;ogółem;2012;[osoba]";"w wieku produkcyjnym niemobilnym;ogółem;2013;[osoba]";"w wieku produkcyjnym niemobilnym;ogółem;2014;[osoba]";"w wieku produkcyjnym niemobilnym;ogółem;2015;[osoba]";"w wieku produkcyjnym niemobilnym;ogółem;2016;[osoba]";"w wieku produkcyjnym niemobilnym;ogółem;2017;[osoba]";"w wieku produkcyjnym niemobilnym;ogółem;2018;[osoba]";"w wieku produkcyjnym niemobilnym;ogółem;2019;[osoba]";"w wieku poprodukcyjnym;ogółem;2010;[osoba]";"w wieku poprodukcyjnym;ogółem;2011;[osoba]";"w wieku poprodukcyjnym;ogółem;2012;[osoba]";"w wieku poprodukcyjnym;ogółem;2013;[osoba]";"w wieku poprodukcyjnym;ogółem;2014;[osoba]";"w wieku poprodukcyjnym;ogółem;2015;[osoba]";"w wieku poprodukcyjnym;ogółem;2016;[osoba]";"w wieku poprodukcyjnym;ogółem;2017;[osoba]";"w wieku poprodukcyjnym;ogółem;2018;[osoba]";"w wieku poprodukcyjnym;ogółem;2019;[osoba]";
0201011;"Bolesławiec (1)";6541;6452;6299;6205;6186;6117;6082;6117;6154;6182;26085;25647;25160;24720;24307;23955;23410;22958;22498;22215;15183;15047;14932;14784;14645;14633;14395;14210;13987;13754;10902;10600;10228;9936;9662;9322;9015;8748;8511;8461;7683;8020;8392;8678;8971;9301;9675;10009;10283;10475;
0201022;"Bolesławiec (2)";2898;2876;2873;2823;2792;2707;2706;2737;2785;2774;9098;9194;9302;9364;9381;9362;9357;9387;9460;9433;5707;5734;5794;5811;5845;5833;5821;5830;5871;5827;3391;3460;3508;3553;3536;3529;3536;3557;3589;3606;1568;1644;1724;1808;1919;2035;2147;2267;2381;2492;
0201032;"Gromadka (2)";1091;1058;1045;1007;971;946;932;903;907;912;3616;3615;3633;3607;3580;3529;3495;3426;3423;3350;2182;2212;2237;2237;2255;2266;2244;2193;2190;2115;1434;1403;1396;1370;1325;1263;1251;1233;1233;1235;808;818;841;882;932;963;990;1016;1037;1075;
0201043;"Nowogrodziec (3)";3257;3212;3134;3068;3034;3004;2988;2963;2934;2898;9968;10003;10028;9970;9941;9943;9892;9803;9729;9639;6295;6322;6363;6346;6338;6310;6305;6249;6204;6125;3673;3681;3665;3624;3603;3633;3587;3554;3525;3514;1993;2072;2123;2202;2275;2334;2431;2524;2595;2677;
0201044;"Nowogrodziec - miasto (4)";767;770;753;739;729;737;722;739;737;717;2879;2886;2852;2829;2801;2811;2757;2717;2687;2643;1734;1741;1748;1746;1744;1743;1732;1712;1694;1671;1145;1145;1104;1083;1057;1068;1025;1005;993;972;559;592;631;662;697;711;758;788;811;847;
0201045;"Nowogrodziec - obszar wiejski (5)";2490;2442;2381;2329;2305;2267;2266;2224;2197;2181;7089;7117;7176;7141;7140;7132;7135;7086;7042;6996;4561;4581;4615;4600;4594;4567;4573;4537;4510;4454;2528;2536;2561;2541;2546;2565;2562;2549;2532;2542;1434;1480;1492;1540;1578;1623;1673;1736;1784;1830;
0201052;"Osiecznica (2)";1840;1780;1723;1686;1664;1601;1577;1558;1527;1478;4910;4888;4905;4899;4888;4823;4807;4720;4657;4635;3365;3341;3358;3353;3348;3299;3254;3142;3064;2998;1545;1547;1547;1546;1540;1524;1553;1578;1593;1637;835;879;914;968;1006;1066;1098;1120;1187;1236;
0201062;"Warta Bolesławiecka (2)";1710;1677;1666;1645;1688;1674;1696;1704;1655;1630;5537;5569;5497;5541;5517;5507;5504;5492;5449;5404;3446;3453;3420;3476;3467;3468;3466;3461;3428;3389;2091;2116;2077;2065;2050;2039;2038;2031;2021;2015;1068;1124;1161;1233;1294;1332;1393;1469;1539;1598;
0202011;"Bielawa (1)";4968;4844;4802;4682;4639;4530;4448;4459;4476;4410;20767;20489;20210;19857;19469;19040;18625;18244;17884;17550;12106;11989;11927;11783;11587;11420;11249;11049;10841;10651;8661;8500;8283;8074;7882;7620;7376;7195;7043;6899;6043;6250;6468;6647;6879;7082;7284;7504;7695;7912;
0202021;"Dzierżoniów (1)";5314;5287;5167;5109;4990;5005;4981;4971;4931;4918;22549;22195;21857;21488;21079;20573;20170;19858;19371;18931;12984;12803;12755;12630;12444;12174;11967;11824;11520;11272;9565;9392;9102;8858;8635;8399;8203;8034;7851;7659;7154;7356;7655;7831;8099;8368;8634;8824;9042;9288;
